"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 16 14:09:19 BDT 2022","Sat Apr 16 14:09:48 BDT 2022","29512","All Test Suite","C:/Users/LENOVO/IdeaProjects/AutomationPractice","testCasesPackage.T002_Login_And_Purchase","testCasesPackage.T002_Login_And_Purchase","loginAndPurchase","Perform Login, Purchase, and Logout","Test Description: This test will log-in to automationpractice.com, Then add two different category products to the cart and complete the checkout process with payment. Finally, It will Sign out from the system."
"passed","Sat Apr 16 14:09:08 BDT 2022","Sat Apr 16 14:09:19 BDT 2022","10453","All Test Suite","C:/Users/LENOVO/IdeaProjects/AutomationPractice","testCasesPackage.T001_CreateNewAccount","testCasesPackage.T001_CreateNewAccount","registration","Perform registration process for new users and Sign Out","Test Description: This test will go to automationpractice.com and browse to the registration page. Then complete the registration process by providing new user Personal and address information. Finally, sign out from the system."
"passed","Sat Apr 16 14:09:48 BDT 2022","Sat Apr 16 14:10:12 BDT 2022","24277","All Test Suite","C:/Users/LENOVO/IdeaProjects/AutomationPractice","testCasesPackage.T002_Login_And_Purchase","testCasesPackage.T002_Login_And_Purchase","loginAndPurchase","Perform Login, Purchase, and Logout","Test Description: This test will log-in to automationpractice.com, Then add two different category products to the cart and complete the checkout process with payment. Finally, It will Sign out from the system."
"passed","Sat Apr 16 14:08:56 BDT 2022","Sat Apr 16 14:09:08 BDT 2022","12198","All Test Suite","C:/Users/LENOVO/IdeaProjects/AutomationPractice","testCasesPackage.T001_CreateNewAccount","testCasesPackage.T001_CreateNewAccount","registration","Perform registration process for new users and Sign Out","Test Description: This test will go to automationpractice.com and browse to the registration page. Then complete the registration process by providing new user Personal and address information. Finally, sign out from the system."
